Unnamed: 0,Year,Mileage,Price,Make_Chevrolet,Make_Ford,Make_Honda,Make_Nissan,Make_Toyota,Model_Altima,Model_Camry,Model_Civic,Model_F-150,Model_Silverado,Condition_Excellent,Condition_Fair,Condition_Good
53,2017,44880,22756.1,False,False,False,False,True,True,False,False,False,False,True,False,False
54,2016,77083,22145.85,False,False,False,True,False,False,False,False,False,True,True,False,False
55,2011,33565,29321.65,False,False,False,True,False,True,False,False,False,False,True,False,False
56,2012,36404,28179.8,False,True,False,False,False,False,True,False,False,False,True,False,False
57,2019,81972,18901.5,False,False,False,False,True,False,False,True,False,False,False,False,True
58,2018,90846,19457.8,False,False,False,False,True,False,False,True,False,False,False,False,True
59,2015,11809,26409.65,False,True,False,False,False,False,True,False,False,False,False,True,False
60,2010,19317,31034.15,False,False,False,True,False,False,False,False,False,True,True,False,False
61,2020,54542,19272.9,False,False,False,False,True,False,False,False,False,True,True,False,False
62,2019,16493,22175.45,True,False,False,False,False,False,True,False,False,False,True,False,False
63,2012,99506,25024.7,False,False,True,False,False,False,False,True,False,False,True,False,False
64,2012,38647,28067.75,False,True,False,False,False,False,True,False,False,False,False,True,False
65,2018,103960,18802.1,False,False,False,True,False,False,False,False,True,False,True,False,False
66,2017,132338,18383.1,False,True,False,False,False,False,False,False,True,False,True,False,False
67,2014,68639,24568.15,False,False,True,False,False,False,False,False,False,True,True,False,False
68,2014,56311,25184.35,False,False,True,False,False,False,True,False,False,False,False,False,True
69,2012,102278,24886.0,False,True,False,False,False,False,True,False,False,False,False,False,True
70,2015,35930,25203.5,False,True,False,False,False,True,False,False,False,False,False,False,True
71,2016,96869,21156.45,False,False,False,False,True,False,False,True,False,False,False,True,False
72,2010,87051,27647.35,True,False,False,False,False,False,False,False,True,False,False,False,True
73,2020,46163,19691.75,False,True,False,False,False,False,True,False,False,False,True,False,False
74,2017,119991,19000.55,False,False,True,False,False,False,False,False,True,False,False,False,True
75,2017,135196,18240.3,False,True,False,False,False,True,False,False,False,False,False,False,True
76,2018,23116,22844.3,False,False,False,True,False,True,False,False,False,False,True,False,False
77,2018,66236,20688.2,True,False,False,False,False,True,False,False,False,False,True,False,False
78,2010,144751,24762.45,False,False,False,False,True,False,False,False,True,False,True,False,False
79,2017,101000,19949.9,False,False,False,False,True,False,False,False,True,False,True,False,False
80,2016,27511,24624.45,False,False,True,False,False,False,False,True,False,False,True,False,False
81,2020,14488,21275.6,True,False,False,False,False,False,False,True,False,False,True,False,False
82,2021,105493,15725.45,False,False,False,True,False,False,False,False,False,True,True,False,False
83,2013,58378,26081.2,False,False,False,True,False,False,True,False,False,False,False,False,True
84,2013,119427,23028.65,False,False,False,False,True,True,False,False,False,False,True,False,False
85,2016,119802,20010.0,False,False,True,False,False,False,False,False,False,True,True,False,False
86,2012,141113,22944.45,False,False,False,False,True,True,False,False,False,False,False,False,True
87,2011,146622,23669.0,False,False,False,False,True,False,False,False,False,True,True,False,False
88,2018,79364,20031.9,False,False,True,False,False,True,False,False,False,False,True,False,False
89,2015,141793,19910.45,True,False,False,False,False,False,False,False,False,True,True,False,False
90,2011,14744,30262.9,False,False,False,True,False,False,False,True,False,False,True,False,False
91,2021,70347,17482.550000000003,True,False,False,False,False,False,False,False,False,True,False,False,True
92,2011,68245,27587.65,True,False,False,False,False,False,False,True,False,False,False,False,True
93,2017,83613,20819.45,True,False,False,False,False,False,False,False,True,False,True,False,False
94,2018,133106,17344.8,False,False,False,True,False,True,False,False,False,False,False,False,True
95,2013,119617,23019.050000000003,False,False,False,False,True,False,False,False,True,False,False,True,False
96,2015,57207,24139.65,False,True,False,False,False,False,False,False,True,False,True,False,False
97,2010,52477,29376.15,False,False,False,True,False,True,False,False,False,False,True,False,False
98,2020,37978,20101.1,False,False,False,True,False,False,False,False,True,False,True,False,False
99,2015,53814,24309.4,False,False,False,True,False,False,False,True,False,False,True,False,False
100,2010,17346,31132.8,False,False,True,False,False,False,True,False,False,False,False,True,False
101,2022,44885,17755.85,False,True,False,False,False,False,False,True,False,False,True,False,False
102,2017,50778,22461.1,False,False,False,True,False,False,False,False,True,False,True,False,False
103,2011,70039,27498.15,False,False,False,True,False,False,False,False,False,True,False,False,True
104,2012,89140,25543.1,False,False,False,True,False,False,False,False,True,False,False,False,True
105,2018,43774,21811.4,False,False,False,False,True,True,False,False,False,False,True,False,False
106,2011,22840,29857.9,True,False,False,False,False,False,False,True,False,False,True,False,False
107,2011,76361,27182.05,False,True,False,False,False,True,False,False,False,False,False,False,True
108,2010,82212,27889.4,False,False,False,True,False,False,True,False,False,False,False,False,True
109,2022,113433,14328.45,True,False,False,False,False,False,False,True,False,False,True,False,False
110,2019,69114,19544.4,False,False,False,False,True,False,True,False,False,False,False,True,False
111,2011,144023,23798.95,False,False,True,False,False,False,True,False,False,False,False,True,False
112,2017,28625,23568.85,False,False,True,False,False,False,True,False,False,False,True,False,False
113,2020,108484,16575.899999999998,False,False,True,False,False,True,False,False,False,False,True,False,False
114,2014,119922,22004.0,False,True,False,False,False,False,False,True,False,False,True,False,False
115,2010,18123,31093.95,True,False,False,False,False,True,False,False,False,False,True,False,False
116,2014,46654,25667.3,False,False,True,False,False,False,False,False,True,False,False,False,True
117,2011,98362,26082.0,True,False,False,False,False,False,False,False,True,False,False,False,True
118,2022,74707,16264.65,False,True,False,False,False,False,True,False,False,False,False,False,True
119,2020,75798,18210.1,True,False,False,False,False,False,False,False,True,False,True,False,False
120,2020,73758,18312.0,True,False,False,False,False,False,False,True,False,False,True,False,False
121,2012,22391,28880.45,False,False,False,False,True,False,False,False,False,True,True,False,False
122,2021,85415,16729.15,False,False,False,False,True,False,True,False,False,False,False,False,True
123,2021,114819,15258.95,True,False,False,False,False,True,False,False,False,False,False,False,True
124,2012,121983,23900.95,False,False,False,False,True,True,False,False,False,False,True,False,False
125,2011,86608,26669.6,False,True,False,False,False,False,False,False,False,True,True,False,False
126,2017,26893,23655.45,False,True,False,False,False,False,False,True,False,False,True,False,False
127,2022,57948,17102.699999999997,False,False,False,True,False,False,False,False,False,True,True,False,False
128,2019,116033,17198.449999999997,False,False,False,False,True,False,True,False,False,False,True,False,False
129,2022,57614,17119.399999999998,False,True,False,False,False,True,False,False,False,False,False,False,True
130,2011,94477,26276.15,False,False,False,True,False,False,False,False,True,False,True,False,False
131,2016,79418,22029.2,False,False,True,False,False,False,False,False,False,True,True,False,False
132,2017,117603,19119.95,False,False,False,False,True,False,False,False,True,False,False,False,True
133,2012,56035,27198.35,False,False,False,True,False,False,False,False,False,True,False,True,False
134,2020,31617,20419.25,False,False,False,True,False,False,False,True,False,False,True,False,False
135,2010,111314,26434.4,False,False,True,False,False,False,True,False,False,False,False,False,True
136,2015,93694,22315.4,False,False,False,True,False,False,True,False,False,False,False,False,True
137,2020,97649,17117.649999999998,True,False,False,False,False,True,False,False,False,False,True,False,False
138,2010,143341,24832.85,True,False,False,False,False,True,False,False,False,False,False,False,True
139,2020,49271,19536.45,False,False,True,False,False,False,False,False,True,False,False,False,True
140,2019,78634,19068.3,False,False,False,False,True,False,False,False,True,False,True,False,False
141,2011,77599,27120.15,False,False,False,True,False,False,False,False,False,True,False,False,True
142,2022,110727,14463.65,False,False,False,False,True,True,False,False,False,False,False,True,False
143,2016,113300,20335.0,False,True,False,False,False,False,True,False,False,False,True,False,False
144,2018,66884,20655.9,False,False,False,False,True,False,False,True,False,False,True,False,False
145,2012,23004,28849.8,False,False,False,True,False,True,False,False,False,False,False,False,True
146,2013,39951,27002.55,False,False,False,True,False,True,False,False,False,False,True,False,False
147,2018,130659,17467.05,False,True,False,False,False,False,False,False,False,True,True,False,False
148,2015,127075,20646.15,False,True,False,False,False,False,False,False,False,True,True,False,False
149,2020,20087,20995.75,False,True,False,False,False,False,False,False,True,False,True,False,False
150,2017,67872,21606.4,False,False,False,False,True,False,False,True,False,False,True,False,False
151,2020,11995,21400.35,False,False,False,True,False,True,False,False,False,False,True,False,False
152,2022,144488,12775.7,False,True,False,False,False,False,False,False,True,False,True,False,False
153,2012,80614,25969.4,False,True,False,False,False,False,False,False,False,True,False,True,False
154,2021,11008,20449.7,False,True,False,False,False,False,False,True,False,False,True,False,False
155,2013,126240,22688.1,True,False,False,False,False,True,False,False,False,False,True,False,False
156,2010,44176,29791.3,False,False,False,True,False,False,True,False,False,False,True,False,False
157,2011,61439,27928.15,False,True,False,False,False,False,False,False,False,True,True,False,False
158,2022,33301,18335.05,True,False,False,False,False,False,True,False,False,False,True,False,False
159,2015,22701,25864.95,False,False,False,True,False,False,False,True,False,False,False,False,True
160,2019,88786,18560.8,False,False,False,True,False,False,True,False,False,False,True,False,False
161,2013,131297,22435.15,False,False,True,False,False,False,False,False,False,True,True,False,False
162,2010,127915,25604.35,True,False,False,False,False,False,False,False,True,False,True,False,False
163,2010,89811,27509.55,False,False,False,False,True,False,True,False,False,False,False,True,False
164,2016,26015,24699.35,True,False,False,False,False,False,False,False,True,False,False,False,True
165,2019,60439,19978.05,False,False,False,False,True,False,False,False,False,True,True,False,False
166,2018,62889,20855.55,False,True,False,False,False,False,False,True,False,False,False,False,True
167,2014,15780,27211.1,True,False,False,False,False,False,False,True,False,False,True,False,False
168,2021,119069,15046.65,False,False,True,False,False,False,False,False,False,True,True,False,False
169,2016,49785,23510.85,True,False,False,False,False,False,False,False,False,True,True,False,False
170,2011,29605,29519.85,False,False,False,True,False,False,True,False,False,False,False,True,False
171,2011,118725,25063.85,False,False,False,True,False,False,False,False,False,True,True,False,False
172,2013,29419,27529.15,True,False,False,False,False,False,False,False,True,False,True,False,False
173,2018,137243,17137.949999999997,False,False,False,True,False,False,False,False,False,True,False,True,False
174,2015,94655,22267.25,False,True,False,False,False,False,False,True,False,False,False,False,True
175,2021,77019,17148.95,False,True,False,False,False,False,False,False,True,False,True,False,False
176,2010,63956,28802.3,True,False,False,False,False,False,False,False,True,False,False,False,True
177,2019,49430,20528.5,False,False,True,False,False,False,False,True,False,False,True,False,False
178,2019,88161,18591.95,False,False,False,True,False,False,False,True,False,False,True,False,False
179,2021,96829,16158.65,False,False,True,False,False,False,False,False,False,True,True,False,False
180,2022,59978,17001.199999999997,False,False,True,False,False,False,False,False,True,False,False,True,False
181,2016,13887,25305.65,False,True,False,False,False,False,False,False,False,True,False,False,True
182,2010,29471,30526.55,False,False,True,False,False,False,False,True,False,False,True,False,False
183,2019,72274,19386.4,False,False,True,False,False,False,False,False,True,False,True,False,False
184,2020,107666,16616.8,False,True,False,False,False,False,False,True,False,False,False,True,False
185,2015,127814,20609.4,False,False,False,False,True,False,False,True,False,False,True,False,False
186,2020,44070,19796.6,False,False,False,False,True,False,False,False,True,False,True,False,False
187,2010,111984,26400.9,False,False,False,False,True,False,False,False,True,False,True,False,False
188,2016,64951,22752.55,False,False,False,True,False,False,False,True,False,False,True,False,False
189,2015,10380,26481.1,True,False,False,False,False,True,False,False,False,False,True,False,False
190,2016,14614,25269.4,False,False,False,False,True,False,False,True,False,False,True,False,False
191,2018,48931,21553.55,True,False,False,False,False,False,False,True,False,False,True,False,False
192,2012,129019,23549.05,False,False,False,False,True,False,False,False,True,False,True,False,False
193,2013,127266,22636.8,False,False,False,False,True,False,False,False,False,True,False,False,True
194,2016,48764,23561.9,False,False,False,True,False,False,False,False,True,False,False,False,True
195,2016,137717,19114.25,False,False,False,False,True,True,False,False,False,False,False,False,True
196,2015,116517,21174.25,False,False,False,False,True,False,False,False,True,False,False,False,True
197,2020,35657,20217.25,False,False,True,False,False,True,False,False,False,False,False,True,False
198,2016,99491,21025.55,False,False,False,True,False,False,False,False,True,False,True,False,False
199,2019,126402,16680.0,False,True,False,False,False,False,False,False,True,False,True,False,False
200,2011,149343,23532.75,False,False,False,True,False,True,False,False,False,False,True,False,False
201,2014,101720,22914.0,False,False,True,False,False,True,False,False,False,False,True,False,False
202,2015,24020,25799.1,False,False,False,False,True,False,True,False,False,False,True,False,False
203,2020,116223,16188.95,True,False,False,False,False,False,False,True,False,False,True,False,False
204,2019,131090,16445.5,False,True,False,False,False,False,False,False,False,True,True,False,False
205,2022,14891,19255.55,True,False,False,False,False,True,False,False,False,False,False,True,False
206,2016,44978,23751.2,False,True,False,False,False,False,False,False,True,False,True,False,False
207,2019,27588,21620.7,False,False,False,True,False,False,False,True,False,False,False,False,True
208,2014,18854,27057.3,False,False,True,False,False,False,False,False,False,True,False,False,True
209,2019,63399,19830.15,False,False,False,True,False,False,True,False,False,False,True,False,False
210,2011,128100,24595.1,True,False,False,False,False,False,False,False,True,False,True,False,False
211,2014,145225,20738.75,False,False,True,False,False,False,False,False,True,False,True,False,False
212,2011,144456,23777.1,False,False,False,False,True,False,True,False,False,False,True,False,False
213,2011,10079,30496.15,False,True,False,False,False,False,False,True,False,False,True,False,False
214,2015,98839,22058.15,False,False,False,True,False,False,True,False,False,False,True,False,False
215,2011,128863,24556.95,False,True,False,False,False,False,False,False,True,False,False,True,False
216,2021,144496,13775.2,False,False,False,False,True,False,True,False,False,False,True,False,False
217,2014,148505,20574.75,False,False,False,False,True,False,True,False,False,False,False,False,True
218,2019,122685,16865.75,False,True,False,False,False,False,False,False,True,False,True,False,False
219,2019,106227,17688.65,True,False,False,False,False,False,True,False,False,False,False,False,True
220,2011,30366,29481.7,True,False,False,False,False,False,False,True,False,False,False,True,False
221,2022,139004,13049.8,True,False,False,False,False,True,False,False,False,False,False,True,False
222,2017,109535,19523.25,False,True,False,False,False,True,False,False,False,False,True,False,False
223,2021,136052,14197.5,False,False,False,False,True,True,False,False,False,False,False,True,False
224,2017,71493,21425.45,False,True,False,False,False,False,True,False,False,False,True,False,False
225,2013,64742,25763.0,False,True,False,False,False,False,False,False,True,False,True,False,False
226,2013,29720,27514.0,False,False,False,True,False,False,True,False,False,False,True,False,False
227,2019,38797,21060.25,False,False,False,True,False,False,True,False,False,False,True,False,False
228,2015,76373,23181.35,False,False,False,False,True,True,False,False,False,False,True,False,False
229,2017,22255,23887.35,False,False,True,False,False,True,False,False,False,False,True,False,False
230,2016,15027,25248.75,False,False,False,False,True,False,False,False,True,False,False,False,True
231,2019,44445,20777.85,False,False,False,False,True,False,False,True,False,False,False,False,True
232,2020,105729,16713.649999999998,False,False,True,False,False,False,False,False,False,True,True,False,False
233,2011,10786,30460.8,False,True,False,False,False,True,False,False,False,False,True,False,False
234,2021,128974,14551.3,True,False,False,False,False,True,False,False,False,False,True,False,False
235,2022,139651,13017.55,False,False,False,False,True,False,False,True,False,False,True,False,False
236,2011,79307,27034.65,True,False,False,False,False,False,False,False,False,True,False,False,True
237,2014,74491,24275.55,False,False,False,True,False,False,True,False,False,False,True,False,False
238,2012,105128,24743.7,False,False,True,False,False,True,False,False,False,False,False,False,True
239,2013,49149,26542.65,False,False,False,True,False,False,False,False,True,False,False,False,True
240,2015,97393,22130.45,False,True,False,False,False,False,True,False,False,False,True,False,False
241,2021,51669,18416.65,True,False,False,False,False,True,False,False,False,False,True,False,False
242,2012,145731,22713.45,False,False,False,False,True,True,False,False,False,False,True,False,False
243,2012,31349,28432.65,False,False,False,True,False,False,True,False,False,False,True,False,False
244,2020,59912,19004.5,False,False,True,False,False,False,False,False,False,True,False,False,True
245,2013,42090,26895.6,False,True,False,False,False,False,False,False,True,False,False,False,True
246,2015,57147,24142.75,False,False,False,True,False,False,False,False,True,False,True,False,False
247,2017,56782,22160.9,False,False,False,True,False,True,False,False,False,False,False,False,True
248,2014,14405,27279.85,False,False,False,True,False,False,False,False,False,True,True,False,False
249,2011,144382,23781.0,False,True,False,False,False,False,False,True,False,False,True,False,False
250,2019,98392,18080.4,False,True,False,False,False,False,False,True,False,False,False,False,True
251,2021,78264,17086.8,False,True,False,False,False,False,False,True,False,False,False,True,False
252,2019,63972,19801.5,True,False,False,False,False,False,False,True,False,False,True,False,False
253,2020,94694,17265.399999999998,False,False,False,True,False,False,False,False,False,True,True,False,False
254,2010,104044,26797.8,False,False,True,False,False,False,True,False,False,False,True,False,False
255,2019,12555,22372.15,False,False,False,True,False,True,False,False,False,False,False,False,True
256,2021,123549,14822.65,False,True,False,False,False,True,False,False,False,False,True,False,False
257,2021,57139,18143.15,False,False,False,True,False,False,False,True,False,False,False,False,True
258,2015,17004,26149.9,False,False,False,False,True,False,False,False,False,True,False,False,True
259,2014,73885,24305.85,True,False,False,False,False,True,False,False,False,False,True,False,False
260,2012,93543,25322.95,False,False,False,False,True,False,False,False,False,True,True,False,False
261,2018,96735,19163.35,False,False,False,False,True,False,False,False,False,True,True,False,False
262,2017,105618,19719.2,False,False,False,False,True,True,False,False,False,False,False,False,True
263,2011,65729,27713.55,True,False,False,False,False,False,True,False,False,False,False,False,True
264,2016,99676,21016.3,False,True,False,False,False,False,True,False,False,False,True,False,False
265,2018,147651,16617.45,True,False,False,False,False,False,True,False,False,False,True,False,False
266,2013,135326,22233.8,False,False,True,False,False,False,False,False,True,False,False,False,True
267,2010,50011,29499.45,False,False,False,True,False,False,False,False,True,False,False,False,True
268,2015,31804,25409.9,False,True,False,False,False,True,False,False,False,False,True,False,False
269,2015,103452,21827.5,False,False,False,True,False,False,False,False,True,False,True,False,False
270,2018,81973,19901.35,False,False,False,True,False,False,False,False,False,True,False,True,False
271,2020,68319,18584.15,False,True,False,False,False,False,False,True,False,False,True,False,False
272,2010,51796,29410.3,False,True,False,False,False,False,False,True,False,False,False,True,False
273,2011,73851,27307.55,False,False,False,False,True,False,False,False,False,True,False,False,True
274,2022,56697,17165.25,False,False,False,False,True,False,False,False,False,True,False,False,True
275,2016,11305,25434.75,False,False,False,True,False,False,False,False,False,True,False,False,True
276,2011,117131,25143.45,False,False,True,False,False,False,False,True,False,False,False,False,True
277,2015,48441,24577.95,False,False,True,False,False,False,False,False,False,True,False,False,True
278,2013,26857,27657.15,False,False,True,False,False,False,False,False,False,True,False,False,True
279,2015,133560,20322.1,False,False,False,False,True,False,False,False,False,True,True,False,False
280,2015,143862,19806.9,False,False,True,False,False,False,False,True,False,False,True,False,False
281,2011,137159,24142.15,False,False,False,True,False,False,False,False,False,True,False,True,False
282,2015,69944,23502.7,False,False,False,True,False,False,True,False,False,False,False,False,True
283,2013,78616,25069.3,False,False,False,True,False,True,False,False,False,False,False,False,True
284,2011,98208,26089.5,False,False,True,False,False,False,True,False,False,False,False,True,False
285,2014,67624,24618.7,False,False,True,False,False,True,False,False,False,False,True,False,False
286,2021,106793,15660.45,False,False,False,True,False,False,False,True,False,False,True,False,False
287,2014,39631,26018.55,False,False,False,True,False,False,False,False,False,True,True,False,False
288,2016,116407,20179.75,True,False,False,False,False,False,False,False,False,True,False,False,True
289,2010,48764,29561.9,False,False,False,True,False,False,False,False,True,False,False,False,True
290,2014,128951,21552.55,False,True,False,False,False,False,True,False,False,False,False,False,True
291,2021,12202,20390.0,False,False,False,False,True,False,False,True,False,False,True,False,False
292,2021,29624,19518.9,False,False,True,False,False,False,False,False,False,True,True,False,False
293,2011,122440,24878.1,False,True,False,False,False,True,False,False,False,False,False,True,False
294,2012,47357,27632.15,True,False,False,False,False,False,True,False,False,False,True,False,False
295,2015,97155,22142.35,False,False,True,False,False,False,True,False,False,False,False,True,False
296,2019,47483,20625.95,True,False,False,False,False,False,True,False,False,False,True,False,False
297,2016,118154,20092.3,False,False,True,False,False,False,False,True,False,False,False,False,True
298,2021,129563,14521.85,False,False,False,False,True,True,False,False,False,False,True,False,False
299,2013,107377,23631.15,False,False,True,False,False,False,False,False,True,False,False,False,True
300,2017,93016,20349.2,False,True,False,False,False,False,False,False,False,True,False,False,True
301,2021,117283,15135.95,False,False,False,True,False,False,False,True,False,False,True,False,False
302,2019,17700,22115.1,False,False,True,False,False,True,False,False,False,False,True,False,False
303,2012,72515,26374.35,False,True,False,False,False,False,False,True,False,False,True,False,False
304,2019,117574,17121.3,False,False,False,True,False,False,False,True,False,False,True,False,False
305,2021,48316,18584.3,True,False,False,False,False,False,False,False,True,False,True,False,False
306,2014,76270,24186.6,True,False,False,False,False,True,False,False,False,False,False,True,False
307,2022,77705,16114.85,False,False,True,False,False,False,False,False,True,False,False,False,True
308,2015,81927,22903.75,False,False,True,False,False,False,False,False,False,True,True,False,False
309,2018,148147,16592.75,False,False,False,False,True,False,False,False,False,True,False,False,True
310,2014,57872,25106.4,False,False,False,False,True,False,False,False,True,False,False,False,True
311,2014,89643,23517.95,False,False,True,False,False,False,False,False,False,True,True,False,False
312,2021,41393,18930.45,False,False,False,True,False,False,False,True,False,False,False,True,False
313,2012,131779,23411.15,False,False,True,False,False,False,False,False,True,False,False,True,False
314,2018,45636,21718.2,False,False,False,True,False,True,False,False,False,False,True,False,False
315,2016,51005,23449.85,True,False,False,False,False,False,True,False,False,False,True,False,False
316,2017,80534,20973.3,False,False,False,True,False,False,False,True,False,False,True,False,False
317,2022,83667,15816.65,False,False,False,True,False,False,False,False,False,True,False,False,True
318,2019,24396,21780.3,False,False,True,False,False,False,True,False,False,False,False,False,True
319,2011,12670,30366.5,False,False,False,True,False,False,True,False,False,False,True,False,False
320,2017,133563,18321.95,False,False,False,False,True,True,False,False,False,False,False,False,True
321,2019,35960,21202.0,False,False,False,False,True,True,False,False,False,False,True,False,False
322,2018,127007,17649.75,False,False,False,False,True,False,True,False,False,False,False,True,False
323,2011,112332,25383.5,True,False,False,False,False,True,False,False,False,False,True,False,False
324,2018,23963,22801.95,False,False,False,True,False,False,False,False,True,False,True,False,False
325,2018,102496,18875.2,True,False,False,False,False,False,False,False,True,False,True,False,False
326,2011,98379,26081.05,False,False,False,True,False,False,False,True,False,False,False,False,True
327,2010,32664,30366.8,False,True,False,False,False,False,False,False,True,False,False,True,False
328,2013,79668,25016.7,False,False,False,True,False,False,False,False,False,True,True,False,False
329,2022,77020,16149.1,False,True,False,False,False,True,False,False,False,False,False,False,True
330,2022,26242,18687.9,True,False,False,False,False,False,False,False,True,False,True,False,False
331,2019,93552,18322.4,False,False,False,True,False,False,False,True,False,False,True,False,False
332,2019,97616,18119.3,True,False,False,False,False,False,True,False,False,False,False,True,False
333,2016,127326,19633.7,False,False,False,False,True,False,True,False,False,False,True,False,False
334,2011,29379,29531.15,True,False,False,False,False,False,False,False,False,True,True,False,False
335,2019,132258,16387.199999999997,False,False,False,False,True,False,True,False,False,False,True,False,False
336,2012,26858,28657.2,False,True,False,False,False,True,False,False,False,False,True,False,False
337,2019,132549,16372.65,False,False,False,False,True,False,False,False,False,True,True,False,False
338,2017,137062,18147.0,False,False,True,False,False,False,True,False,False,False,False,True,False
339,2014,102123,22893.95,False,False,False,True,False,True,False,False,False,False,False,True,False
340,2022,87290,15635.6,False,False,False,True,False,False,True,False,False,False,False,False,True
341,2015,146704,19664.9,False,False,True,False,False,False,False,True,False,False,True,False,False
342,2017,137604,18119.9,False,False,False,False,True,True,False,False,False,False,False,False,True
343,2016,61257,22937.25,False,False,False,True,False,True,False,False,False,False,True,False,False
344,2011,68325,27583.75,False,False,False,False,True,False,False,True,False,False,True,False,False
345,2020,94847,17257.75,False,False,False,False,True,False,False,True,False,False,False,False,True
346,2014,131078,21446.2,False,False,True,False,False,False,False,True,False,False,False,True,False
347,2019,52450,20377.6,False,False,False,False,True,False,False,False,True,False,False,True,False
348,2016,13492,25325.5,True,False,False,False,False,False,True,False,False,False,True,False,False
349,2020,16317,21184.25,False,True,False,False,False,False,False,False,False,True,False,False,True
350,2019,79262,19037.0,False,False,True,False,False,False,False,False,True,False,True,False,False
351,2011,51775,28411.35,False,False,True,False,False,False,False,True,False,False,True,False,False
